Linhas de fornecimento,Lista de municipios
"Linha de Fornecimento 3186: Serviços de Suporte de Divulgação em 
Comunicação Social.",Município 56995: Serra
"Linha de Fornecimento 3187: Serviços Acessórios e Complementares em 
Atividades de Administração, Recursos Humanos e Recursos Financeiros.",Município 57010: Viana
"Linha de Fornecimento 3188: Administração de Infra-estrutura de Perímetro 
Irrigado",Município 57037: Vila Velha
Linha de Fornecimento 3189: Gráfico - Confecção Tiquetes,Município 57053: Vitória
Linha de Fornecimento 3190: Seguro Aeronaves,Município 57070: Marilândia
"Linha de Fornecimento 3191: Fornecimento de Materiais Bibliográficos 
´Inativo´",Município 57096: Ibatiba
Linha de Fornecimento 3192: Serviço Auxiliar de Laboratório / Odontólogo,Município 57118: Rio Bananal
Linha de Fornecimento 3193: Impressão Digital,Município 57134: Jaguaré
Linha de Fornecimento 3194: Confecção Estruturas Metálicas,Município 57150: Pedro Canário
"Linha de Fornecimento 3195: Análise Microscopia Eletrônica de Varredura e 
Espectroscopiade Raios X",Município 57177: Água Doce do Norte
"Linha de Fornecimento 3196: Locação de Veículos - Leves / Pesados / Com 
Motorista",Município 57193: Alto Rio Novo
Linha de Fornecimento 3197: Recuperação de Munição,Município 57215: João Neiva
Linha de Fornecimento 3198: Serviço Corte Papel,Município 57231: Laranja da Terra
"Linha de Fornecimento 3199: Serviço de Cálculo / Desenho e Memorial 
Descritivo",Município 57258: Santa Maria de Jetibá
Linha de Fornecimento 3200: Manutenção Cofre,Município 57274: Vargem Alta
Linha de Fornecimento 3201: Serviço Rede Comunicação Dados e Imagem,Município 57290: Venda Nova do Imigrante
Linha de Fornecimento 3202: Serviço de Adestramento de Animais,Município 57312: Itaú de Minas
"Linha de Fornecimento 3203: Manutenção e Reparo de Material Esportivo / 
Brinquedo",Município 57339: Águia Branca
Linha de Fornecimento 3204: Manutenção e Recuperação de Capacete,Município 57355: Coronel Martins
"Linha de Fornecimento 3205: Limpeza em Aparelho de Ultrassom com Uso de 
Detergente Enzimático/Desoxidante.",Município 57371: Ipuaçu
Linha de Fornecimento 3206: Treinamento em Fiscalização Aduaneira,Município 57398: Lageado Grande
Linha de Fornecimento 3207: Serviço Especializado de Limpeza,Município 57410: Ouro Verde
Linha de Fornecimento 3208: Transporte Aéreo - Cargas / Encomendas,Município 57436: Passos Maia
Linha de Fornecimento 3209: Serviço de Revisão Automotiva,Município 57452: Belmonte
Linha de Fornecimento 3210: Recuperação de Distintivos e Insígnias,Município 57479: Paraíso
Linha de Fornecimento 3211: Pagamento Inscrição Eventos,Município 57495: Riqueza
Linha de Fornecimento 3212: Serviço de Confecção de capas / Coberturas,Município 57517: Santa Helena
Linha de Fornecimento 3213: Remanejamento de Equipamento / Mobiliário,Município 57533: São João do Oeste
Linha de Fornecimento 3214: Manutenção / Reparo Máquina Gelo,Município 57550: São Miguel da Boa Vista
Linha de Fornecimento 3215: Prestação de Serviços de Piloto de Aeronave,Município 57576: Nova Santa Rita
Linha de Fornecimento 3216: Prestação de Serviços de Marcheteiro,Município 57592: Mariana Pimentel
Linha de Fornecimento 3217: CONVERSÃO DE FITA VHS PARA DVD,Município 57614: Sertão Santana
Linha de Fornecimento 3218: REPRODUÇÃO DE FITAS VHS,Município 57630: Gramado Xavier
Linha de Fornecimento 3219: REPRODUÇÃO DE FITAS VHS,Município 57657: Passo do Sobrado
Linha de Fornecimento 3220: Instalação - Persianas Verticais/Horizontais,Município 57673: Sinimbu
Linha de Fornecimento 3221: Diagramação Eletrônica e Projeto Gráfico,Município 57690: Vale do Sol
Linha de Fornecimento 3222: Exame Urológico,Município 57711: Barão do Triunfo
Linha de Fornecimento 3223: Serviço de Lanternagem e Pintura,Município 57738: Minas do Leão
Linha de Fornecimento 3224: Serviço de Vacinação,Município 57754: Morrinhos do Sul
Linha de Fornecimento 3225: Controle de Abastecimento de Veículos,Município 57770: Três Forquilhas
Linha de Fornecimento 3226: Gráfico - Confecção Cédula Eleitoral,Município 57797: Arambare
"Linha de Fornecimento 3227: Serviço de Tratamento / Fumigação / Impregnação 
química",Município 57819: Sentinela do Sul
"Linha de Fornecimento 3228: Fornecimento de Medicamento por Demanda, 
Tabelado, por deci são Judicial ´Inativo´",Município 57835: Maquiné
Linha de Fornecimento 3229: Rastreamento,Município 57851: Xangri-la
Linha de Fornecimento 3230: Locação Vaga Estacionamento / Atracadouro,Município 57878: Pinhal Grande
Linha de Fornecimento 3231: Fornecimento de Frutas e Legumes ´Inativo´,Município 57894: Quevedos
Linha de Fornecimento 3232: Construção Pista de Atletismo,Município 57916: São João do Polesine
"Linha de Fornecimento 3233: Manutenção em Obstáculo e Percurso de Pista de 
Atletismo",Município 57932: São Martinho da Serra
Linha de Fornecimento 3234: Locação de Compressor de Ar,Município 57959: Vila Nova do Sul
Linha de Fornecimento 3235: Serviço de Vistoria / Validação / Certificação,Município 57975: Coxilha
Linha de Fornecimento 3236: Aluguel de Equipamentos Ópticos,Município 57991: Gentil
Linha de Fornecimento 3237: Exame Aortografia,Município 58017: Angra dos Reis
Linha de Fornecimento 3238: Distribuição de Leite,Município 58033: Araruama
"Linha de Fornecimento 3239: Administração / Gerenciamento-Manutenção 
Veículo Automotivo",Município 58050: Barra do Piraí
Linha de Fornecimento 3240: Salva-vidas,Município 58076: Barra Mansa
Linha de Fornecimento 3241: Informática - Recuperação de Dados,Município 58092: Bom Jardim
Linha de Fornecimento 3242: CONFECÇÃO LÂMINA LABORATORIAL,Município 58114: Bom Jesus do Itabapoana
"Linha de Fornecimento 3243: Serviços de Prevenção Combate Incêndio / 
Brigadista",Município 58130: Cabo Frio
"Linha de Fornecimento 3244: AQUISIÇÃO BONUS ELETRÔNICOS ACESSO SISTEMA 
ON-LINE",Município 58157: Cachoeiras de Macaçu
Linha de Fornecimento 3245: 33903916,Município 58173: Cambuci
Linha de Fornecimento 3246: 33904803,Município 58190: Campos dos Goitacazes
"Linha de Fornecimento 3247: Prestação de Serviço de Emissão de Bilhete de 
Passagem AéreaNacional - Menor Taxa de Serviço",Município 58211: Cantagalo
"Linha de Fornecimento 3248: Prestação de Serviço de Emissão de Bilhete de 
Passagem AéreaInternacional - Menor Taxa de Serviço",Município 58238: Carmo
Linha de Fornecimento 3249: Prestação de Serviços Judiciários,Município 58254: Casimiro de Abreu
Linha de Fornecimento 3250: Prestação Serviço Supervisor de Pessoal,Município 58270: Conceição de Macabu
Linha de Fornecimento 3251: Auxiliar de Serviços Técnicos,Município 58297: Cordeiro
Linha de Fornecimento 3252: Locação Conteiner (Container),Município 58319: Duas Barras
Linha de Fornecimento 3253: Locação de Animais,Município 58335: Duque de Caxias
Linha de Fornecimento 3254: Prestação de Serviços de Camareira,Município 58351: Engenheiro Paulo de Frontin
Linha de Fornecimento 3255: Prestação de Serviços Artes Plásticas,Município 58378: Itaboraí
Linha de Fornecimento 3256: Estudos e Projetos Agronomia,Município 58394: Itaguaí
Linha de Fornecimento 3257: Estudos e Projetos Aeronaútico,Município 58416: Itaocara
Linha de Fornecimento 3258: Assistência Técnica Produção,Município 58432: Itaperuna
Linha de Fornecimento 3259: Armador de ferragem,Município 58459: Lajé do Muriaé
Linha de Fornecimento 3260: Serviço Implatação de Infraestrutura,Município 58475: Macaé
"Linha de Fornecimento 3261: Prestação de Serviços de Técnico de 
Telecomunicações",Município 58491: Magé
Linha de Fornecimento 3262: Exame Renal,Município 58513: Mangaratiba
"Linha de Fornecimento 3263: Cessão Uso Infraestrutura Rede Aérea / 
Subterrânea",Município 58530: Maricá
Linha de Fornecimento 3264: Fornecimento Passagem Rodoviária,Município 58556: Mendes
Linha de Fornecimento 3265: Auditoria em Área Ambiental,Município 58572: Miguel Pereira
Linha de Fornecimento 3266: Prestação de Serviços de Dublagem,Município 58599: Miracema
Linha de Fornecimento 3267: Exame Grafotécnico,Município 58610: Natividade
"Linha de Fornecimento 3268: Gerenciamento de Plasma Excedente de Uso 
Transfusional",Município 58637: Nilópolis
Linha de Fornecimento 3269: Implantação / Manutenção Estação Hidrológica,Município 58653: Niterói
"Linha de Fornecimento 3270: Contratação de Passagem Aérea Junto a Companhia 
Credenciada",Município 58670: Nova Friburgo
Linha de Fornecimento 3271: radiografia obtida através de raios gama,Município 58696: Nova Iguaçu
Linha de Fornecimento 3272: Transporte Aeroviário Valores,Município 58718: Paracambi
,Município 58734: Paraiba do Sul
,Município 58750: Parati
,Município 58777: Petrópolis
,Município 58793: Piraí
,Município 58815: Porciúncula
,Município 58831: Resende
,Município 58858: Rio Bonito
,Município 58874: Rio Claro
,Município 58890: Rio das Flores
,Município 58912: Santa Maria Madalena
,Município 58939: Santo Antônio de Pádua
,Município 58955: São Fidélis
,Município 58971: São Gonçalo
,Município 58998: São João da Barra
,Município 59013: São João de Merti
,Município 59030: São Pedro da Aldêia
,Município 59056: São Sebastião do Alto
,Município 59072: Sapucaia
,Município 59099: Saquarema
,Município 59110: Silva Jardim
,Município 59137: Sumidouro
,Município 59153: Teresópolis
,Município 59170: Trajano de Morais
,Município 59196: Tres Rios
,Município 59218: VAlença
,Município 59234: Vassouras
,Município 59250: Volta Redonda
,Município 59277: Arraial do Cabo
,Município 59293: Italva
,Município 59315: Mato Castelhano
,Município 59331: Mormaço
,Município 59358: Muliterno
,Município 59374: Nicolau Vergueiro
,Município 59390: Pontão
,Município 59412: Santo Antônio do Palma
,Município 59439: Barra Funda
,Município 59455: Coqueiros do Sul
,Município 59471: Engenho Velho
,Município 59498: Gramado dos Loureiros
,Município 59510: Lagoa dos Três Cantos
,Município 59536: Nova Boa Vista
,Município 59552: Rio dos Índios
,Município 59579: Santo Antônio do Planalto
,Município 59595: Barra do Rio Azul
,Município 59617: Carlos Gomes
,Município 59633: Centenário
,Município 59650: Charrua
,Município 59676: Ponte Preta
,Município 59692: Ametista do Sul
,Município 59714: Dois Irmãos das Missões
,Município 59730: Novo Tiradentes
,Município 59757: Pinheirinho do Vale
,Município 59773: Santo Expedito do Sul
,Município 59790: Tupanci do Sul
,Município 59811: Boa Vista das Missões
,Município 59838: Lajeado do Bugre
,Município 59854: Novo Barreiro
,Município 59870: Sagrada Família
,Município 59897: São José das Missões
,Município 59919: Nova Pádua
,Município 59935: Monte Belo do Sul
,Município 59951: Santa Tereza
,Município 59978: São Vlentim do Sul
,Município 59994: União da Serra
,Município 60011: Rio de Janeiro
,Município 60038: Itatiaia
,Município 60054: Paty do Alferes
,Município 60070: Quissamã
,Município 60097: São José do Vale do Rio Preto
,Município 60119: Ibitirama
,Município 60135: Campestre da Serra
,Município 60151: São José dos Ausentes
,Município 60178: Lindolfo Collor
,Município 60194: Morro Reuter
,Município 60216: Picada Café
,Município 60232: Presidente Lucena
,Município 60259: Capitão
,Município 60275: Itapucá
,Município 60291: Colinas
,Município 60313: Mato Leitão
,Município 60330: Santa Clara do Sul
,Município 60356: Sério
,Município 60372: Travesseiro
,Município 60399: Maratá
,Município 60410: Pareci Novo
,Município 60437: São Pedro da Serra
,Município 60453: Alto Feliz
,Município 60470: Linha Nova
,Município 60496: Vale Real
,Município 60518: Inhacorá
,Município 60534: Vitória das Missões
,Município 60550: Coronel Barros
,Município 60577: Novo Macchado
,Município 60593: São José do Inhacorá
,Município 60615: Salvador das Missões
,Município 60631: São Pedro do Butiá
,Município 60658: Porto Mauá
,Município 60674: Porto Vera Cruz
,Município 60690: Barra do Guarita
,Município 60712: Bom Progresso
,Município 60739: Derrubadas
,Município 60755: São Valério do Sul
,Município 60771: Tiradentes do Sul
,Município 60798: Manoel Viana
,Município 60810: Garruchos
,Município 60836: Candiota
,Município 60852: Hulha Negra
,Município 60879: São José do Povo
,Município 61018: Adamantina
,Município 61034: Adolfo
,Município 61050: Aguai
,Município 61077: Águas da Prata
,Município 61093: Águas de Lindóia
,Município 61115: Águas de São Pedro
,Município 61131: Agudos
,Município 61158: Alfredo Marcondes
,Município 61174: Altair
,Município 61190: Altinópolis
,Município 61212: Alto Alegre
,Município 61239: Alvares Florence
,Município 61255: Alvares Machado
,Município 61271: Alvaro de Carvalho
,Município 61298: Alvinlândia
,Município 61310: Americana
,Município 61336: Américo Brasiliense
,Município 61352: Americo de Campos
,Município 61379: Amparo
,Município 61395: Analândia
,Município 61417: Andradina
,Município 61433: Angatuba
,Município 61450: Anhembi
,Município 61476: Anhúmas
,Município 61492: Aparecida
,Município 61514: Aparecida D´Oeste
,Município 61530: Apiaí
,Município 61557: Araçatuba
,Município 61573: Araçoiaba da Serra
,Município 61590: Aramina
,Município 61611: Arandu
,Município 61638: Araraquara
,Município 61654: Araras
,Município 61670: Arealva
,Município 61697: Areias
,Município 61719: Areiópolis
,Município 61735: Ariranha
,Município 61751: Artur Nogueira
,Município 61778: Arujá
,Município 61794: Assis
,Município 61816: Atibaia
,Município 61832: Auriflama
,Município 61859: Avai
,Município 61875: Avanhandava
,Município 61891: Avaré
,Município 61913: Bady Bassitt
,Município 61930: Balbinos
,Município 61956: Balsamo
,Município 61972: Bananal
,Município 61999: Barbosa
,Município 62014: Barão de Antonina
,Município 62030: Bariri
,Município 62057: Barra Bonita
,Município 62073: Barra do Turvo
,Município 62090: Barretos
,Município 62111: Barrinha
,Município 62138: Barueri
,Município 62154: Bastos
,Município 62170: Batatais
,Município 62197: Bauru
,Município 62219: Bebedouro
,Município 62235: Bento de Abreu
,Município 62251: Bernardino de Campos
,Município 62278: Bilac
,Município 62294: Birigui
,Município 62316: Biritiba-Mirim
,Município 62332: Boa Esperança do Sul
,Município 62359: Bocaina
,Município 62375: Bofete
,Município 62391: Boituva
,Município 62413: Bom Jesus dos Perdões
,Município 62430: Borá
,Município 62456: Boracéia
,Município 62472: Borborema
,Município 62499: Botucatu
,Município 62510: Braagança Paulista
,Município 62553: Braúna
,Município 62570: Brodosqui
,Município 62596: Brotas
,Município 62618: Buri
,Município 62634: Buritama
,Município 62650: Buritizal
,Município 62677: Cabrália Paulista
,Município 62693: Cabreúva
,Município 62715: Caçapava
,Município 62731: Cachoeira Paulista
,Município 62758: Caconde
,Município 62774: Cafelândia
,Município 62790: Caiabu
,Município 62812: Caieiras
,Município 62839: Caiua
,Município 62855: Cajamar
,Município 62871: Cajobi
,Município 62898: Cajuru
,Município 62910: Campinas
,Município 62936: Campo Limpo Paulista
,Município 62952: Campos do Jordão
,Município 62979: Campos Novos Paulista
,Município 62995: Cananéia
,Município 63010: Cândido Mota
,Município 63037: Cândido Rodrigues
,Município 63053: Capão Bonito
,Município 63070: Capela do Alto
